id,requester_id,receiver_id,is_mutual
1,719,887,true
2,431,678,true
3,878,102,false
4,140,945,false
5,259,651,false
6,17,38,true
7,539,266,false
8,478,207,true
9,89,731,false
10,674,632,false
11,563,473,true
12,826,767,false
13,258,400,false
14,391,412,false
15,34,304,true
16,962,752,false
17,93,162,true
18,827,316,true
19,351,175,true
20,281,88,false
21,394,455,false
22,465,380,true
23,933,447,false
24,152,441,true
25,404,152,true
26,360,729,false
27,122,228,true
28,363,68,true
29,983,745,false
30,308,865,false
31,869,560,false
32,854,402,false
33,967,317,false
34,132,962,false
35,806,249,false
36,130,515,true
37,922,59,true
38,1,62,false
39,589,76,true
40,403,306,false
41,357,356,true
42,869,754,true
43,354,747,true
44,34,184,true
45,787,832,false
46,43,846,true
47,163,448,false
48,940,47,false
49,282,432,false
50,801,230,false
51,381,463,true
52,7,308,true
53,130,518,true
54,695,174,false
55,185,798,true
56,874,531,false
57,388,712,false
58,47,10,true
59,352,837,true
60,833,772,true
61,197,546,false
62,993,94,true
63,171,381,true
64,587,807,true
65,860,56,false
66,805,880,false
67,47,40,true
68,672,13,false
69,732,36,false
70,279,212,false
71,291,206,true
72,349,804,false
73,899,378,true
74,657,189,false
75,916,699,true
76,72,482,false
77,21,637,true
78,68,496,false
79,765,401,true
80,463,43,false
81,824,780,true
82,816,153,true
83,204,114,false
84,837,391,true
85,939,860,false
86,442,504,false
87,811,497,false
88,613,758,false
89,779,564,true
90,510,100,false
91,912,310,true
92,386,986,false
93,821,490,false
94,816,791,false
95,449,144,false
96,369,245,true
97,735,437,true
98,548,874,true
99,497,528,true
100,9,252,false
101,86,298,false
102,731,456,true
103,46,131,false
104,88,96,true
105,432,807,false
106,621,987,true
107,758,735,false
108,901,130,false
109,454,471,true
110,419,812,false
111,412,670,false
112,922,344,true
113,849,13,true
114,377,842,false
115,195,992,true
116,471,779,true
117,868,111,true
118,400,895,true
119,224,314,false
120,949,969,false
121,377,947,true
122,609,35,true
123,544,287,false
124,456,10,true
125,55,719,false
126,943,79,false
127,834,542,false
128,498,220,true
129,859,213,false
130,477,453,true
131,317,243,false
132,621,736,true
133,499,540,true
134,676,698,true
135,120,790,false
136,955,422,false
137,752,509,false
138,205,190,true
139,670,684,true
140,905,107,true
141,459,812,true
142,421,127,false
143,150,652,false
144,947,144,false
145,353,449,false
146,731,159,false
147,606,624,false
148,138,321,true
149,941,83,false
150,219,109,false
151,923,573,true
152,274,976,true
153,555,620,false
154,11,926,false
155,77,741,true
156,919,382,true
157,448,364,false
158,809,314,true
159,352,744,true
160,299,522,true
161,518,455,false
162,573,569,true
163,804,482,false
164,750,480,true
165,99,682,false
166,367,691,true
167,877,853,false
168,322,417,true
169,21,327,true
170,183,676,false
171,161,958,false
172,149,971,true
173,388,81,true
174,981,713,true
175,302,227,true
176,442,546,false
177,883,87,false
178,528,811,true
179,792,824,true
180,906,705,false
181,62,218,false
182,491,647,true
183,304,207,false
184,737,577,false
185,915,692,false
186,437,252,false
187,340,962,true
188,489,607,false
189,566,56,true
190,895,154,true
191,304,233,true
192,65,651,true
193,225,118,false
194,530,971,true
195,146,165,true
196,701,519,false
197,521,773,false
198,671,1,true
199,982,628,true
200,117,22,false
201,673,79,false
202,982,663,true
203,749,568,false
204,100,842,false
205,171,906,true
206,60,247,true
207,101,842,true
208,633,672,false
209,829,891,true
210,998,923,false
211,435,587,false
212,1000,288,false
213,123,387,true
214,536,157,false
215,605,228,false
216,890,670,false
217,344,65,true
218,806,429,false
219,565,656,true
220,769,522,false
221,974,943,false
222,842,827,false
223,88,185,false
224,726,60,true
225,340,690,true
226,987,431,true
227,251,176,true
228,668,805,false
229,664,383,true
230,856,756,true
231,50,609,true
232,361,849,false
233,802,419,false
234,430,538,false
235,410,189,false
236,896,479,false
237,602,148,true
238,634,365,true
239,751,426,false
240,895,339,false
241,723,479,false
242,670,169,true
243,778,675,true
244,662,140,true
245,244,677,true
246,932,136,true
247,739,230,false
248,673,480,false
249,675,534,true
250,92,73,false
251,888,746,false
252,291,719,false
253,926,231,false
254,701,624,false
255,935,869,false
256,308,866,true
257,724,621,false
258,33,829,true
259,886,411,true
260,741,684,false
261,224,997,true
262,530,778,false
263,867,652,false
264,515,442,false
265,863,733,false
266,791,889,true
267,846,7,false
268,301,678,true
269,703,532,false
270,445,63,false
271,551,343,false
272,623,102,false
273,992,808,false
274,979,417,false
275,677,390,true
276,515,706,false
277,630,446,true
278,843,654,true
279,185,290,false
280,307,81,true
281,159,516,true
282,714,842,true
283,93,959,false
284,958,45,false
285,292,481,true
286,299,424,true
287,135,688,true
288,827,812,true
289,302,333,false
290,400,526,false
291,455,360,true
292,389,671,false
293,874,572,false
294,845,967,true
295,903,71,true
296,566,776,false
297,420,920,false
298,613,491,true
299,135,348,false
300,493,711,false
301,427,711,true
302,690,987,false
303,108,879,true
304,485,826,true
305,398,488,false
306,19,632,false
307,395,707,true
308,900,751,true
309,521,371,true
310,254,145,true
311,255,308,false
312,641,458,false
313,942,156,false
314,285,675,false
315,568,987,false
316,717,927,false
317,802,718,true
318,727,102,true
319,221,856,true
320,185,905,true
321,362,976,false
322,151,718,false
323,977,390,false
324,658,629,true
325,601,316,false
326,321,561,true
327,628,56,true
328,931,207,false
329,681,252,false
330,743,237,true
331,836,884,false
332,811,657,false
333,413,292,false
334,50,678,true
335,14,688,true
336,93,155,true
337,784,260,true
338,150,263,true
339,883,956,false
340,385,912,false
341,629,701,true
342,251,79,false
343,467,524,true
344,119,994,true
345,753,195,true
346,888,152,false
347,215,486,false
348,676,663,false
349,339,24,false
350,839,395,false
351,17,632,false
352,668,453,true
353,970,563,true
354,13,296,true
355,738,199,true
356,928,795,true
357,869,711,false
358,993,787,false
359,218,720,false
360,234,418,true
361,160,798,true
362,306,400,false
363,612,995,true
364,535,119,true
365,487,836,true
366,159,283,true
367,435,754,false
368,267,178,false
369,28,869,true
370,824,813,true
371,890,234,true
372,295,694,true
373,275,281,false
374,982,474,true
375,118,201,false
376,587,157,true
377,992,55,true
378,678,544,false
379,208,884,true
380,151,58,true
381,967,75,false
382,986,51,true
383,937,827,true
384,703,646,true
385,360,863,false
386,598,501,true
387,610,658,true
388,338,310,true
389,254,231,true
390,366,229,true
391,411,633,false
392,862,935,true
393,632,842,true
